id_empregado,departamento,regiao,educacao,genero,canal_de_recrutamento,n_de_treinamentos,idade,pontuacao_ano_anterior,tempo_de_servico,KPIs >80%,venceu_premiacoes?,pontuacao_media_treinamentos,foi_promovido
73161,Operacoes,regiao_22,Bacharelado,M,outros,1,39,3.0,5,1,0,62,0
13596,Analise,regiao_31,Bacharelado,M,outros,2,26,2.0,2,0,0,85,0
45709,Vendas & Marketing,regiao_31,Bacharelado,F,outros,1,29,,1,0,0,49,0
32709,Pesquisa & Desenvolvimento,regiao_22,Mestrado & acima,M,processo seletivo,1,40,3.0,5,1,0,84,0
26599,Vendas & Marketing,regiao_16,Bacharelado,M,outros,2,27,,1,1,0,47,0
32656,Vendas & Marketing,regiao_19,Bacharelado,M,outros,1,40,4.0,7,0,0,52,0
17673,Vendas & Marketing,regiao_4,Mestrado & acima,M,outros,1,50,4.0,17,1,0,47,1
3113,Vendas & Marketing,regiao_29,Bacharelado,M,processo seletivo,1,25,3.0,3,0,0,53,0
9150,Analise,regiao_22,Bacharelado,F,outros,1,28,,1,1,0,80,0
14107,Vendas & Marketing,regiao_1,Mestrado & acima,M,processo seletivo,1,35,4.0,2,1,0,52,0
58747,Pesquisa & Desenvolvimento,regiao_26,Bacharelado,M,outros,1,34,5.0,5,0,0,87,0
3342,Operacoes,regiao_13,Mestrado & acima,F,processo seletivo,1,31,3.0,3,1,0,58,0
77981,Financeiro,regiao_22,Bacharelado,M,outros,1,27,,1,1,1,58,1
16502,Vendas & Marketing,regiao_22,Bacharelado,M,processo seletivo,1,27,,1,0,0,61,1
73729,Compras,regiao_10,Bacharelado,M,outros,1,30,4.0,6,1,0,75,0
45624,Analise,regiao_31,Bacharelado,M,outros,1,30,3.0,7,1,0,84,1
75677,Operacoes,regiao_22,Bacharelado,F,outros,1,50,5.0,5,1,0,59,0
24040,Tecnologia,regiao_22,Mestrado & acima,M,outros,1,34,5.0,7,1,0,78,1
68082,Vendas & Marketing,regiao_2,Mestrado & acima,F,processo seletivo,1,41,1.0,12,0,0,52,0
51786,Vendas & Marketing,regiao_16,Bacharelado,M,processo seletivo,1,32,4.0,6,0,0,44,0
77577,Vendas & Marketing,regiao_7,Bacharelado,M,outros,1,50,3.0,14,0,0,52,0
54782,Vendas & Marketing,regiao_2,Mestrado & acima,M,processo seletivo,1,38,4.0,2,1,0,49,1
52368,Vendas & Marketing,regiao_27,Bacharelado,M,processo seletivo,2,29,1.0,5,0,0,51,0
75103,Vendas & Marketing,regiao_30,Bacharelado,M,processo seletivo,1,35,4.0,3,1,0,53,0
7520,Analise,regiao_2,Bacharelado,M,outros,1,25,3.0,2,1,0,91,0
59147,Vendas & Marketing,regiao_22,Bacharelado,M,processo seletivo,1,30,3.0,3,0,0,58,1
53092,Tecnologia,regiao_2,Bacharelado,M,indicacao,1,47,3.0,7,0,0,79,0
34564,Operacoes,regiao_4,Mestrado & acima,M,processo seletivo,1,35,2.0,7,0,0,53,0
66013,Vendas & Marketing,regiao_2,,M,processo seletivo,2,25,3.0,2,0,0,53,0
77135,Pesquisa & Desenvolvimento,regiao_22,Bacharelado,M,outros,1,36,4.0,8,0,0,82,0
44575,Legal,regiao_7,Bacharelado,M,outros,1,29,,1,0,0,65,1
47498,Operacoes,regiao_11,Mestrado & acima,F,processo seletivo,1,42,5.0,11,1,0,60,1
20798,RH,regiao_20,Bacharelado,F,processo seletivo,1,28,2.0,6,0,0,52,0
69094,Vendas & Marketing,regiao_2,,M,processo seletivo,1,39,1.0,9,0,0,49,0
22261,Compras,regiao_7,Mestrado & acima,M,processo seletivo,1,32,5.0,3,1,0,69,1
9589,Vendas & Marketing,regiao_31,Bacharelado,F,outros,1,31,,1,0,0,51,0
62658,Vendas & Marketing,regiao_2,,F,processo seletivo,1,20,,1,0,0,55,0
21628,Analise,regiao_12,Bacharelado,M,outros,1,34,3.0,8,0,0,85,0
68484,Compras,regiao_2,Mestrado & acima,M,processo seletivo,2,46,4.0,3,1,0,74,0
44523,RH,regiao_2,Mestrado & acima,M,outros,1,47,3.0,7,0,0,44,0
35420,Operacoes,regiao_2,Bacharelado,F,outros,1,44,4.0,13,0,0,53,0
43923,Analise,regiao_14,Bacharelado,M,processo seletivo,1,31,4.0,4,1,0,86,0
64109,Tecnologia,regiao_26,Bacharelado,F,processo seletivo,1,23,,1,0,0,77,0
41983,Operacoes,regiao_2,Bacharelado,F,processo seletivo,1,33,3.0,5,0,0,57,0
21440,Vendas & Marketing,regiao_31,Bacharelado,M,outros,1,41,3.0,12,1,0,52,0
51256,Financeiro,regiao_2,Mestrado & acima,M,outros,1,60,5.0,17,0,0,59,0
66635,Operacoes,regiao_15,Bacharelado,M,outros,1,31,5.0,4,1,0,63,1
16027,Operacoes,regiao_26,Bacharelado,F,outros,1,37,3.0,11,0,0,57,0
46020,Analise,regiao_7,Bacharelado,M,processo seletivo,2,39,3.0,4,1,0,83,0
28509,Vendas & Marketing,regiao_7,Bacharelado,M,outros,1,40,5.0,8,1,0,54,0
33587,Vendas & Marketing,regiao_28,Mestrado & acima,M,processo seletivo,1,42,5.0,4,0,0,50,0
21387,Operacoes,regiao_13,Bacharelado,M,outros,1,35,4.0,6,1,0,57,1
55927,Operacoes,regiao_13,Mestrado & acima,F,processo seletivo,1,41,4.0,6,1,0,62,0
60763,Compras,regiao_2,Bacharelado,F,outros,1,23,3.0,2,0,0,73,0
53167,Vendas & Marketing,regiao_16,Bacharelado,M,processo seletivo,2,31,3.0,4,0,0,50,0
32672,Analise,regiao_22,Mestrado & acima,M,outros,1,42,2.0,19,0,0,79,0
48785,Vendas & Marketing,regiao_22,Bacharelado,M,outros,3,29,4.0,2,0,0,49,0
51444,RH,regiao_13,Bacharelado,F,outros,1,30,,1,1,0,54,0
75778,Operacoes,regiao_2,Bacharelado,M,processo seletivo,1,41,4.0,6,1,0,63,0
14141,Vendas & Marketing,regiao_7,Bacharelado,F,outros,1,40,3.0,2,1,0,90,1
17894,Vendas & Marketing,regiao_2,Bacharelado,M,indicacao,1,34,5.0,5,0,0,49,0
54380,Vendas & Marketing,regiao_4,Bacharelado,F,outros,1,31,4.0,2,0,0,46,0
51892,Tecnologia,regiao_2,Bacharelado,M,outros,1,27,5.0,2,0,0,86,1
3625,Compras,regiao_21,Bacharelado,M,processo seletivo,4,30,3.0,2,0,0,72,0
38771,Compras,regiao_23,Bacharelado,F,outros,1,27,4.0,4,1,0,72,1
18959,Tecnologia,regiao_15,Bacharelado,M,outros,4,36,4.0,7,0,0,82,0
21137,Tecnologia,regiao_2,Bacharelado,M,processo seletivo,1,35,4.0,6,0,0,77,0
26097,Vendas & Marketing,regiao_25,Mestrado & acima,M,outros,1,34,5.0,7,1,0,51,1
38052,Compras,regiao_34,Mestrado & acima,M,processo seletivo,1,37,5.0,3,0,1,92,1
41746,Operacoes,regiao_22,Bacharelado,F,processo seletivo,1,27,,1,1,0,58,0
72744,Compras,regiao_2,Mestrado & acima,M,processo seletivo,2,47,3.0,5,1,0,71,0
5461,Analise,regiao_8,Bacharelado,M,outros,1,28,,1,1,0,83,0
15227,Compras,regiao_27,Mestrado & acima,F,outros,1,40,5.0,5,0,0,68,0
66874,Vendas & Marketing,regiao_27,Bacharelado,F,outros,1,30,,1,0,0,50,0
42068,Operacoes,regiao_1,Mestrado & acima,M,outros,1,38,5.0,9,1,0,61,0
54825,Vendas & Marketing,regiao_25,Bacharelado,M,outros,1,30,3.0,2,0,0,47,0
77709,Vendas & Marketing,regiao_11,Bacharelado,F,processo seletivo,1,28,5.0,3,0,0,46,0
43712,Compras,regiao_22,Bacharelado,M,processo seletivo,2,28,5.0,4,1,0,67,0
74783,Operacoes,regiao_29,Bacharelado,M,processo seletivo,1,35,4.0,7,0,0,58,0
19318,Analise,regiao_22,Bacharelado,M,outros,1,32,3.0,8,0,0,89,1
12096,Vendas & Marketing,regiao_26,Mestrado & acima,M,processo seletivo,1,36,5.0,8,0,0,50,0
5102,Operacoes,regiao_7,Bacharelado,M,processo seletivo,1,24,,1,1,0,56,0
29521,Tecnologia,regiao_15,Bacharelado,M,outros,1,27,3.0,4,1,0,78,0
36371,Financeiro,regiao_28,Mestrado & acima,M,outros,2,34,3.0,7,0,0,56,0
51164,Tecnologia,regiao_14,Bacharelado,F,outros,1,31,4.0,4,1,1,78,0
17812,Tecnologia,regiao_27,Bacharelado,F,processo seletivo,1,30,4.0,2,0,0,77,0
7606,Tecnologia,regiao_29,Bacharelado,F,outros,2,30,3.0,7,1,1,76,0
50593,Financeiro,regiao_23,Bacharelado,M,processo seletivo,1,31,,1,1,0,56,0
73735,Analise,regiao_25,Bacharelado,M,outros,1,30,5.0,3,1,0,84,0
29313,Financeiro,regiao_22,Bacharelado,M,processo seletivo,1,28,3.0,2,0,0,57,0
40262,Tecnologia,regiao_2,Bacharelado,M,outros,2,28,3.0,5,0,0,81,0
36904,Vendas & Marketing,regiao_15,Bacharelado,M,outros,1,29,3.0,2,0,0,51,0
62552,Vendas & Marketing,regiao_22,Mestrado & acima,M,processo seletivo,1,46,3.0,11,1,0,51,0
63285,Tecnologia,regiao_29,Bacharelado,M,processo seletivo,1,31,5.0,4,1,0,80,0
74203,Compras,regiao_5,Bacharelado,M,processo seletivo,1,28,1.0,4,0,0,72,0
75344,Vendas & Marketing,regiao_4,Mestrado & acima,M,outros,1,31,4.0,6,0,0,50,0
74018,RH,regiao_7,Mestrado & acima,F,outros,1,37,3.0,9,0,0,48,0
34985,Tecnologia,regiao_5,Bacharelado,F,outros,2,34,5.0,8,0,0,88,1
35930,Compras,regiao_2,Bacharelado,M,processo seletivo,1,25,5.0,3,1,0,70,1
6708,Operacoes,regiao_22,Mestrado & acima,M,processo seletivo,1,40,4.0,4,1,0,57,0
5515,Operacoes,regiao_13,Mestrado & acima,M,outros,1,43,3.0,7,1,0,56,1
53373,Operacoes,regiao_13,Bacharelado,M,outros,1,36,1.0,5,0,0,56,0
69316,Legal,regiao_29,Bacharelado,M,processo seletivo,1,29,3.0,3,0,0,63,0
41009,Financeiro,regiao_13,Bacharelado,M,processo seletivo,2,35,3.0,2,0,0,56,0
50622,Analise,regiao_25,Mestrado & acima,M,outros,1,34,5.0,2,0,0,84,0
30106,Vendas & Marketing,regiao_16,Bacharelado,F,processo seletivo,1,32,4.0,4,1,0,45,0
45157,RH,regiao_4,Bacharelado,M,outros,1,27,,1,1,0,50,0
23523,Tecnologia,regiao_26,Bacharelado,M,processo seletivo,1,29,3.0,5,0,0,75,0
74349,Vendas & Marketing,regiao_5,Bacharelado,M,processo seletivo,1,34,1.0,4,0,0,48,0
70543,Compras,regiao_2,Mestrado & acima,M,processo seletivo,1,37,5.0,7,1,0,70,0
42245,Compras,regiao_22,Bacharelado,F,outros,1,33,3.0,3,1,0,73,0
34405,Compras,regiao_2,Mestrado & acima,F,outros,1,33,5.0,4,1,0,67,0
4134,Vendas & Marketing,regiao_16,Bacharelado,F,outros,1,39,1.0,8,0,0,45,0
23599,Tecnologia,regiao_23,Mestrado & acima,M,outros,1,34,4.0,7,0,0,82,0
942,Tecnologia,regiao_22,Bacharelado,M,outros,2,32,4.0,6,0,0,84,0
5281,Vendas & Marketing,regiao_7,Mestrado & acima,M,outros,1,34,4.0,6,0,0,53,0
197,Financeiro,regiao_12,Bacharelado,M,outros,1,29,5.0,6,1,0,61,0
37574,Vendas & Marketing,regiao_2,Bacharelado,M,processo seletivo,2,28,1.0,2,0,0,50,0
26773,Tecnologia,regiao_7,Bacharelado,F,outros,1,28,2.0,5,0,0,75,0
70034,Compras,regiao_2,Mestrado & acima,F,outros,2,35,3.0,9,0,0,70,0
40565,Tecnologia,regiao_2,Bacharelado,F,outros,2,40,3.0,3,0,0,86,0
17193,Vendas & Marketing,regiao_2,Bacharelado,F,outros,2,27,2.0,4,0,0,54,0
76550,Compras,regiao_22,Bacharelado,F,outros,3,26,3.0,3,1,0,70,0
53841,Operacoes,regiao_2,Bacharelado,M,processo seletivo,1,43,2.0,12,0,0,57,0
28314,Financeiro,regiao_26,Bacharelado,M,outros,1,23,,1,0,0,61,0
30196,Analise,regiao_25,Bacharelado,M,processo seletivo,1,29,5.0,6,1,0,84,0
29757,Vendas & Marketing,regiao_14,Bacharelado,M,processo seletivo,1,43,3.0,15,0,0,51,0
6073,Vendas & Marketing,regiao_2,Bacharelado,M,processo seletivo,3,27,4.0,4,0,0,49,0
9863,Compras,regiao_27,Bacharelado,M,processo seletivo,1,26,4.0,4,1,0,70,0
34306,Compras,regiao_13,Bacharelado,F,outros,1,31,5.0,5,1,0,72,0
34041,Operacoes,regiao_7,Bacharelado,M,outros,1,40,4.0,11,0,0,58,0
21356,Operacoes,regiao_15,Bacharelado,F,outros,2,39,5.0,12,1,0,55,0
29540,Operacoes,regiao_2,Bacharelado,F,outros,2,30,3.0,6,0,0,57,0
51669,Tecnologia,regiao_2,Mestrado & acima,M,outros,1,47,4.0,4,1,0,77,0
33825,Vendas & Marketing,regiao_17,Bacharelado,M,outros,1,34,4.0,7,1,0,48,1
6254,Operacoes,regiao_2,,F,outros,1,33,4.0,9,0,0,64,0
11645,Vendas & Marketing,regiao_23,Mestrado & acima,M,outros,1,41,5.0,7,0,0,51,0
3231,Tecnologia,regiao_7,Bacharelado,M,outros,1,29,1.0,4,0,0,80,0
7030,Analise,regiao_31,Bacharelado,F,outros,1,32,3.0,4,0,0,86,0
54198,Compras,regiao_7,Mestrado & acima,F,outros,1,47,5.0,9,0,0,68,0
62293,Operacoes,regiao_27,Bacharelado,M,outros,1,35,4.0,3,0,0,65,0
25312,Tecnologia,regiao_22,Bacharelado,M,outros,1,27,4.0,2,0,0,75,0
75610,Analise,regiao_32,Bacharelado,M,outros,1,29,1.0,3,0,0,81,0
16518,Vendas & Marketing,regiao_20,Bacharelado,M,processo seletivo,2,36,3.0,9,0,0,49,0
42747,Vendas & Marketing,regiao_15,Bacharelado,M,outros,2,35,1.0,8,0,0,39,0
67980,Compras,regiao_2,Bacharelado,F,processo seletivo,2,34,3.0,2,0,0,70,0
53630,Vendas & Marketing,regiao_23,Mestrado & acima,F,processo seletivo,1,34,4.0,5,1,1,94,1
72423,Operacoes,regiao_2,Mestrado & acima,M,processo seletivo,1,39,3.0,2,1,0,60,0
73022,Vendas & Marketing,regiao_25,Bacharelado,M,outros,1,26,5.0,2,1,0,51,0
63976,Operacoes,regiao_31,Bacharelado,F,processo seletivo,1,30,5.0,4,0,0,56,0
60761,Operacoes,regiao_16,,F,outros,1,31,4.0,2,0,0,62,0
57228,RH,regiao_2,Mestrado & acima,M,processo seletivo,1,44,5.0,6,0,0,48,0
14912,Vendas & Marketing,regiao_1,Bacharelado,M,outros,1,38,3.0,4,1,0,49,0
22725,Tecnologia,regiao_26,Bacharelado,M,outros,1,40,1.0,3,0,0,78,0
18981,Legal,regiao_2,Mestrado & acima,M,processo seletivo,1,50,5.0,6,0,1,58,0
50845,Compras,regiao_19,Mestrado & acima,M,outros,1,44,3.0,12,0,0,70,0
11800,Compras,regiao_2,Abaixo do ensino medio,F,outros,1,23,1.0,2,0,0,69,0
16351,Vendas & Marketing,regiao_7,Mestrado & acima,F,processo seletivo,1,36,1.0,2,0,0,53,0
75881,Analise,regiao_27,Bacharelado,M,processo seletivo,1,25,1.0,4,0,0,80,0
73200,Operacoes,regiao_28,Bacharelado,M,processo seletivo,1,34,5.0,4,1,0,58,0
17833,Analise,regiao_4,Bacharelado,M,processo seletivo,1,28,,1,0,0,85,0
58338,Analise,regiao_1,Bacharelado,M,outros,2,30,5.0,6,1,0,81,0
40187,Compras,regiao_12,Bacharelado,M,processo seletivo,1,35,1.0,8,0,0,67,0
70193,Analise,regiao_6,Bacharelado,M,processo seletivo,1,33,4.0,8,0,0,86,0
27188,Analise,regiao_13,Mestrado & acima,M,outros,1,30,3.0,4,1,0,80,0
24291,Analise,regiao_26,Bacharelado,M,outros,2,27,5.0,3,1,0,85,0
43676,Compras,regiao_2,Bacharelado,M,outros,4,29,,1,0,0,68,0
52231,Operacoes,regiao_2,Bacharelado,M,processo seletivo,1,43,3.0,3,0,0,58,0
34241,Analise,regiao_22,Bacharelado,M,outros,2,28,3.0,5,1,0,86,0
76661,Compras,regiao_17,Bacharelado,M,outros,1,31,5.0,3,1,0,68,0
50595,Operacoes,regiao_2,Bacharelado,F,outros,1,43,4.0,12,0,0,58,0
67673,Operacoes,regiao_4,Bacharelado,F,outros,1,35,5.0,9,1,0,60,0
10547,Vendas & Marketing,regiao_5,Bacharelado,M,outros,2,35,3.0,9,0,0,49,0
73405,Operacoes,regiao_2,Mestrado & acima,M,outros,1,50,3.0,8,1,0,59,0
73114,RH,regiao_17,Bacharelado,F,outros,1,26,4.0,3,0,0,50,0
22572,Vendas & Marketing,regiao_27,Bacharelado,M,processo seletivo,1,32,3.0,5,1,0,52,0
62923,Operacoes,regiao_13,Mestrado & acima,F,outros,1,38,5.0,2,1,1,93,1
57235,Vendas & Marketing,regiao_26,,M,outros,1,22,4.0,2,0,0,51,0
22300,RH,regiao_20,Bacharelado,M,outros,1,28,,1,1,0,52,0
24090,Compras,regiao_14,Bacharelado,F,processo seletivo,1,37,3.0,9,0,0,69,0
57298,Analise,regiao_2,Bacharelado,M,processo seletivo,2,54,3.0,9,1,0,86,0
25629,Vendas & Marketing,regiao_11,Bacharelado,M,processo seletivo,1,36,3.0,8,0,0,51,0
71339,Tecnologia,regiao_6,Bacharelado,M,outros,1,35,3.0,8,0,0,78,0
54714,Analise,regiao_29,Bacharelado,M,outros,1,39,3.0,4,1,0,85,0
7390,Operacoes,regiao_12,Bacharelado,F,processo seletivo,1,31,5.0,4,1,0,63,0
9563,Operacoes,regiao_31,Bacharelado,M,outros,2,38,3.0,7,1,1,60,0
39107,Vendas & Marketing,regiao_22,Bacharelado,M,processo seletivo,1,28,1.0,2,0,0,48,0
19445,Vendas & Marketing,regiao_7,Bacharelado,M,processo seletivo,3,26,2.0,3,0,0,52,0
42636,Vendas & Marketing,regiao_26,Bacharelado,M,processo seletivo,1,29,,1,0,0,54,0
32557,Analise,regiao_20,Bacharelado,M,processo seletivo,1,30,3.0,4,0,0,84,0
43396,Operacoes,regiao_22,Bacharelado,M,processo seletivo,2,37,2.0,4,1,0,57,1
24414,Pesquisa & Desenvolvimento,regiao_2,,M,outros,1,25,,1,1,0,76,0
63237,Tecnologia,regiao_22,Bacharelado,M,indicacao,1,26,4.0,2,0,0,82,0
32838,Tecnologia,regiao_7,Bacharelado,M,outros,1,31,4.0,4,0,0,78,0
23003,Tecnologia,regiao_14,Bacharelado,F,outros,1,38,5.0,7,1,0,82,0
45198,Vendas & Marketing,regiao_13,Bacharelado,M,outros,1,39,4.0,9,0,0,49,0
40376,Vendas & Marketing,regiao_4,Bacharelado,M,outros,1,30,5.0,4,0,1,50,0
60176,Compras,regiao_15,Mestrado & acima,F,outros,1,34,5.0,8,1,0,67,0
67652,Compras,regiao_23,Mestrado & acima,F,outros,1,33,3.0,5,1,0,72,0
15476,Tecnologia,regiao_2,Bacharelado,F,outros,1,29,5.0,3,1,0,78,0
55811,Operacoes,regiao_2,Bacharelado,M,processo seletivo,1,28,4.0,2,1,0,61,0
15737,Financeiro,regiao_22,Bacharelado,M,processo seletivo,1,24,,1,0,0,56,0
10058,Analise,regiao_22,Bacharelado,M,outros,2,26,4.0,2,1,0,87,0
73435,Legal,regiao_22,Bacharelado,M,processo seletivo,1,34,5.0,4,0,0,64,0
51255,Vendas & Marketing,regiao_27,Bacharelado,M,processo seletivo,1,35,3.0,7,0,0,46,0
70060,Tecnologia,regiao_13,Mestrado & acima,M,outros,1,43,3.0,14,0,0,79,0
51473,Vendas & Marketing,regiao_15,Bacharelado,M,outros,1,34,1.0,8,0,0,39,0
71904,Tecnologia,regiao_7,Mestrado & acima,F,outros,2,38,3.0,10,0,0,88,0
76080,Operacoes,regiao_7,Bacharelado,F,outros,1,34,1.0,5,0,0,54,0
33357,Operacoes,regiao_22,Bacharelado,M,processo seletivo,1,41,4.0,4,0,0,63,0
53502,Financeiro,regiao_7,Bacharelado,M,processo seletivo,2,29,1.0,4,0,0,61,0
26409,Operacoes,regiao_2,Bacharelado,M,outros,1,33,4.0,3,0,0,61,0
59608,Vendas & Marketing,regiao_2,Mestrado & acima,F,outros,1,41,4.0,5,1,0,48,0
28687,Operacoes,regiao_2,Mestrado & acima,M,outros,3,38,3.0,11,0,0,57,0
34312,Compras,regiao_2,Mestrado & acima,F,outros,2,54,4.0,23,0,0,66,0
11438,Vendas & Marketing,regiao_13,Mestrado & acima,F,processo seletivo,2,34,2.0,8,0,0,49,0
11794,Pesquisa & Desenvolvimento,regiao_2,Bacharelado,M,outros,2,26,5.0,3,1,0,87,0
48756,Operacoes,regiao_7,Bacharelado,F,processo seletivo,1,35,5.0,3,0,0,59,0
35873,Legal,regiao_2,Abaixo do ensino medio,M,outros,1,28,,1,0,0,62,0
13970,Operacoes,regiao_33,Mestrado & acima,M,outros,1,36,3.0,4,0,0,60,0
49868,Tecnologia,regiao_5,Bacharelado,M,outros,1,45,3.0,15,0,0,87,0
25261,Compras,regiao_7,Mestrado & acima,M,outros,1,38,4.0,7,0,0,66,0
44536,Vendas & Marketing,regiao_27,Bacharelado,F,outros,1,26,2.0,4,0,0,47,0
55550,Analise,regiao_27,,M,processo seletivo,1,31,3.0,4,0,0,85,0
27989,Analise,regiao_34,Bacharelado,M,processo seletivo,1,32,3.0,7,0,0,87,0
12598,Analise,regiao_6,Bacharelado,M,processo seletivo,1,29,4.0,4,0,0,78,0
32877,Vendas & Marketing,regiao_2,Bacharelado,F,outros,1,40,3.0,12,0,0,50,0
30682,Tecnologia,regiao_2,Bacharelado,M,indicacao,2,29,4.0,6,0,0,75,0
1829,Analise,regiao_28,Bacharelado,M,outros,2,31,5.0,7,1,0,87,0
2177,Financeiro,regiao_16,Bacharelado,M,outros,1,32,5.0,6,1,0,58,0
51771,Operacoes,regiao_17,Bacharelado,M,outros,1,42,5.0,11,0,0,67,0
26026,Compras,regiao_15,Bacharelado,F,processo seletivo,1,30,5.0,3,1,0,65,0
64977,Compras,regiao_16,Bacharelado,F,outros,1,24,3.0,2,1,0,70,0
44585,Vendas & Marketing,regiao_30,Bacharelado,M,processo seletivo,1,35,3.0,7,0,0,56,0
43562,Tecnologia,regiao_5,Bacharelado,F,processo seletivo,2,32,1.0,3,0,0,80,0
56287,RH,regiao_2,Bacharelado,F,processo seletivo,1,22,3.0,2,0,0,47,0
